sample_id	subject_id	time_point	r1	r2
s11_1	s11	1	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s11_1.BcgI.fq.gz	
s11_11	s11	11	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s11_11.BcgI.fq.gz	
s11_12	s11	12	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s11_12.BcgI.fq.gz	
s11_13	s11	13	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s11_13.BcgI.fq.gz	
s11_14	s11	14	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s11_14.BcgI.fq.gz	
s11_15	s11	15	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s11_15.BcgI.fq.gz	
s11_16	s11	16	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s11_16.BcgI.fq.gz	
s11_2	s11	2	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s11_2.BcgI.fq.gz	
s11_3	s11	3	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s11_3.BcgI.fq.gz	
s11_4	s11	4	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s11_4.BcgI.fq.gz	
s11_5	s11	5	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s11_5.BcgI.fq.gz	
s11_6	s11	6	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s11_6.BcgI.fq.gz	
s11_7	s11	7	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s11_7.BcgI.fq.gz	
s11_8	s11	8	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s11_8.BcgI.fq.gz	
s11_9	s11	9	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s11_9.BcgI.fq.gz	
s13_1	s13	1	/lustre1/g/aos_shihuang/Strain2b/data/saliva_data/2bRAD/s13_1.BcgI.fq.gz	
